id_encuesta;dni;fecha_llamada;hora_llamada;comunidad;edad;sexo;producto_contratado;importe_ultima_factura;satisfaccion_1_10;recomendaria;num_incidencias_previas;tipo_primera_incidencia;duracion_llamada_seg;operador
10600;73434221G;27/12/2026;11:51;C. Madrid;23;2;Fibra 600Mb;2437;2;n;1;Portabilidad;671;Gertrudis Pérez
10585;60961083N;14-05-26;17:06;CATALUÑA;81;Hombre;Móvil 20GB;154,60;4;Sí;1;Facturación;148;Ana Ruiz
10435;81256097X;2026-10-01;12:30;C. La Mancha;-3;2;Fibra+Móvil;148,95;4;s;0;;573;Manuel Sánchez
10816;23495554W;09/05/2026;21:24;C. Madrid;82;H;FIBRA + MOVIL;93,62;7;N;0;;790;Federico Álvarez
10515;41396118P;13-06-26;14:29;CASTILLA LA MANCHA;37;M;tv premium;113.45;9;NO;0;;864;Menchu Rodríguez
10439;65366561E;25/03/2025;08:05;valencia;81;Mujer;TV Premium;68,06;4;N;1;Atención al cliente;4;Gertrudis Pérez
10268;39278256V;27/06/2026;08:09;madrid;;h;Fibra 600Mb;187,88;9;SI;;;146;Menchu Rodríguez
11065;56139660K;17/12/2026;15:45;CASTILLA LA MANCHA;64;1;TV Premium;173,27 €;1;;2;;55;Manuel Sánchez
10656;27666356L;10/05/2025;14:24;cataluña;54;1;Móvil 50GB;164,43;2;N;0;;611;Menchu Rodriguez
10101;19992985P;12-03-25;12:14;andalucía;28;h;FIBRA + MOVIL;105,32;10;Sí;0;;363;Luciano Gómez
10252;55343071X;27/03/2025;17:52;andalucía;76;Hombre;Fibra+Móvil;120.27;10;No;1;Avería técnica;505;Ana Ruiz
10493;56195960Y;07/02/2026;13:25;andalucía;72;h;Móvil 50GB;160,18 €;1;N;0;;565;Federico Álvarez
10597;73408077D;2025-12-25;15:07;Castilla la Mancha;73;1;Fibra600;137,78;8;;;;586;Manuel Sánchez
10004;94058838X;02/08/2025;20:18;Comunidad Valenciana;0;Mujer;FIBRA + MOVIL;82,38;;N;0;;528;Ana Ruiz
10839;59091767A;2026-07-11;14:27;Castilla La Mancha ;82;m;MOVIL 20GB;134,04 €;4;;;;854;Luciano Gómez
10122;27093715L;2025-01-18;11:38;Cataluña;82;Mujer;Fibra600;163.87;9;Sí;2;Atención al cliente;276;Menchu Rodriguez
10246;53099597W;19-12-26;19:50;MADRID;21;2;Móvil 20GB;67,41;4;n;3;AVERIA TECNICA;445;Luciano Gómez
